id,text,date,isRetweet,isDeleted,device,favorites,retweets,isFlagged
1893775885225865406,"@tayli_mesut 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-23 21:32:10+00:00,na,na,na,0,0,f
1893771771062427873,"@YusufVarda6332 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-23 21:15:49+00:00,na,na,na,0,0,f
1893769179406245945,"@AhmetFurka64350 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-23 21:05:31+00:00,na,na,na,0,0,f
1893526003030376695,"@Danishdaneeboy 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-23 04:59:13+00:00,na,na,na,3,0,f
1893455593379090464,"@Annajoyce455 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-23 00:19:26+00:00,na,na,na,0,0,f
1893020177006031321,"@Angelina_nezhel 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for Arizona. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-21 19:29:15+00:00,na,na,na,0,0,f
1892967616207003948,"@BengalTiger2000 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-21 16:00:23+00:00,na,na,na,0,0,f
1892941645999460729,"@jjc7519 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for FLORIDA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #unsubscribe to opt-out.",2025-02-21 14:17:12+00:00,na,na,na,0,0,f
1892397388595093561,https://t.co/nmaExq4VMw,2025-02-20 02:14:31+00:00,na,na,na,308552,45156,f
1892360954102366376,"@Kyle85582684315 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-19 23:49:44+00:00,na,na,na,0,0,f
